ID,Name,Owner,Controler,Religion,Culture
2172,Jingzhou,LNG,LNG,confucianism,hubei
2173,Yuanling,MNG,MNG,animism,miao
2174,Hengyang,LNG,LNG,animism,xiang
2175,Runing,LNG,LNG,confucianism,zhongyuan
2176,Shangqiu,LNG,LNG,confucianism,zhongyuan
2177,Ningwu,CSH,CSH,confucianism,jin
2178,Lu'an,CSH,CSH,confucianism,jin
2179,Yan'an,CSH,CSH,confucianism,jin
2180,Tianshui,CSH,CSH,confucianism,xibei
2181,Pingliang,CSH,CSH,confucianism,xibei
2182,Liangzhou,CHG,CHG,sunni,xibei
2183,Taozhou,CHG,CHG,sunni,tibetan
2184,Xining,CHG,CHG,sunni,xibei
2185,Mergen,MYR,MYR,tengri_pagan_reformed,manchu
2186,Iman,MJZ,MJZ,tengri_pagan_reformed,manchu
2187,Sartu,KRC,REB,tengri_pagan_reformed,chahar
2188,Alchuka,MYR,MYR,confucianism,manchu
2189,Tsetserleg,OIR,OIR,tengri_pagan_reformed,khalkha
2190,Bayankhongor,OIR,OIR,tengri_pagan_reformed,khalkha
2191,Ejin,OIR,OIR,tengri_pagan_reformed,oirats
2192,Korla,KAS,KAS,sunni,uyghur
2193,Govi,OIR,OIR,tengri_pagan_reformed,khalkha
2194,Qilian,NONE,NONE,NONE,NONE
2195,Adyghe,CRI,CRI,sunni,circassian
2196,Guria,CRI,CRI,sunni,georgian
2197,Kabardia,CRI,CRI,sunni,circassian
2198,Khundzia,CRI,CRI,sunni,dagestani
2199,Tarki,CRI,CRI,sunni,dagestani
2200,Suleiman Range,NONE,NONE,NONE,NONE
2201,Alania,CRI,CRI,sunni,circassian
2202,Melikates,CRI,CRI,coptic,armenian
2203,Kakheti,CRI,CRI,sunni,georgian
2204,Kars,CRI,CRI,sunni,georgian
2205,Nakhchivan,CRI,CRI,coptic,armenian
2206,Urmia,QOM,QOM,sunni,kurdish
2207,Maragheh,QOM,QOM,sunni,azerbaijani
2208,Terek,CRI,CRI,sunni,dagestani
2209,Ilam,QOM,QOM,sunni,kurdish
2210,Kirmanshah,QOM,QOM,sunni,luri
2211,Ardalan,QOM,QOM,sunni,kurdish
2212,Zanjan,QOM,QOM,sunni,azerbaijani
2213,Qom,QOM,QOM,sunni,persian
